,Leading Economic Index
Region,United States
Subnational,
Frequency,Monthly
Unit,2016=100
Source,The Conference Board
Status,Active
Series ID,455935867
SR Code,SR141454357
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,Jan-59
Last Obs. Date,22-Nov
Last Update Time,22/12/2022
Series remarks,[COVID-19-IMPACT]
Suggestions,
Mean,69.31395046
Variance,620.9147268
Standard Deviation,24.91816058
Skewness,0.147926722
Kurtosis,-1.106060486
Coefficient Variation,0.359497048
Min,25.2
Max,119.4
Median,66.1
No. of Obs,767
Jan-59,25.2
Feb-59,25.6
Mar-59,25.9
Apr-59,26
May-59,26.3
Jun-59,26.4
Jul-59,26.4
Aug-59,26.4
Sep-59,26.4
Oct-59,26.3
Nov-59,26.1
Dec-59,26.7
Jan-60,26.7
Feb-60,26.7
Mar-60,26.6
Apr-60,26.7
May-60,26.7
Jun-60,26.8
Jul-60,26.8
Aug-60,26.9
Sep-60,26.9
Oct-60,27
Nov-60,26.9
Dec-60,26.9
Jan-61,27.2
Feb-61,27.3
Mar-61,27.6
Apr-61,27.9
May-61,28.2
Jun-61,28.6
Jul-61,28.7
Aug-61,29.1
Sep-61,29.2
Oct-61,29.6
Nov-61,30
Dec-61,30.2
Jan-62,30.3
Feb-62,30.6
Mar-62,30.8
Apr-62,31
May-62,30.9
Jun-62,30.9
Jul-62,31.1
Aug-62,31.2
Sep-62,31.4
Oct-62,31.5
Nov-62,31.8
Dec-62,31.9
Jan-63,32.2
Feb-63,32.5
Mar-63,32.8
Apr-63,33.1
May-63,33.3
Jun-63,33.5
Jul-63,33.7
Aug-63,33.8
Sep-63,34.1
Oct-63,34.4
Nov-63,34.6
Dec-63,34.7
Jan-64,34.9
Feb-64,35.2
Mar-64,35.4
Apr-64,35.7
May-64,36
Jun-64,36.2
Jul-64,36.5
Aug-64,36.8
Sep-64,37.1
Oct-64,37.2
Nov-64,37.5
Dec-64,37.8
Jan-65,38.1
Feb-65,38.3
Mar-65,38.7
Apr-65,38.8
May-65,39.1
Jun-65,39.2
Jul-65,39.4
Aug-65,39.6
Sep-65,39.9
Oct-65,40.4
Nov-65,40.7
Dec-65,41.1
Jan-66,41.3
Feb-66,41.5
Mar-66,41.9
Apr-66,42
May-66,41.8
Jun-66,41.8
Jul-66,41.7
Aug-66,41.6
Sep-66,41.5
Oct-66,41.5
Nov-66,41.4
Dec-66,41.4
Jan-67,41.6
Feb-67,41.4
Mar-67,41.6
Apr-67,41.8
May-67,42.1
Jun-67,42.5
Jul-67,42.7
Aug-67,43.1
Sep-67,43.3
Oct-67,43.4
Nov-67,43.7
Dec-67,44.1
Jan-68,44.2
Feb-68,44.4
Mar-68,44.6
Apr-68,44.7
May-68,45
Jun-68,45.2
Jul-68,45.3
Aug-68,45.1
Sep-68,45.6
Oct-68,45.9
Nov-68,46
Dec-68,46
Jan-69,46.2
Feb-69,46.3
Mar-69,46.5
Apr-69,46.7
May-69,46.4
Jun-69,46.2
Jul-69,46
Aug-69,45.9
Sep-69,46
Oct-69,45.7
Nov-69,45.5
Dec-69,45.2
Jan-70,44.7
Feb-70,44.4
Mar-70,44.1
Apr-70,43.7
May-70,43.7
Jun-70,43.7
Jul-70,43.9
Aug-70,44
Sep-70,44
Oct-70,43.9
Nov-70,43.9
Dec-70,44.5
Jan-71,44.7
Feb-71,45.2
Mar-71,45.5
Apr-71,45.7
May-71,46.1
Jun-71,46.2
Jul-71,46.4
Aug-71,46.5
Sep-71,46.7
Oct-71,47
Nov-71,47.2
Dec-71,47.7
Jan-72,48.2
Feb-72,48.7
Mar-72,49.1
Apr-72,49.4
May-72,49.6
Jun-72,50
Jul-72,50.3
Aug-72,51
Sep-72,51.6
Oct-72,52
Nov-72,52.5
Dec-72,53.1
Jan-73,53.4
Feb-73,53.6
Mar-73,53.6
Apr-73,53.3
May-73,53.3
Jun-73,53.2
Jul-73,52.9
Aug-73,52.4
Sep-73,52.2
Oct-73,52.1
Nov-73,51.8
Dec-73,51.2
Jan-74,51
Feb-74,50.6
Mar-74,50.5
Apr-74,49.8
May-74,49.6
Jun-74,49.1
Jul-74,48.5
Aug-74,47.7
Sep-74,46.8
Oct-74,46.2
Nov-74,45.5
Dec-74,44.7
Jan-75,44.4
Feb-75,44.2
Mar-75,44.1
Apr-75,44.7
May-75,45
Jun-75,45.3
Jul-75,45.8
Aug-75,45.9
Sep-75,46.1
Oct-75,46.5
Nov-75,46.7
Dec-75,47
Jan-76,47.7
Feb-76,48.4
Mar-76,48.6
Apr-76,48.8
May-76,49.2
Jun-76,49.3
Jul-76,49.8
Aug-76,50
Sep-76,50.4
Oct-76,50.4
Nov-76,50.9
Dec-76,51.4
Jan-77,51.4
Feb-77,51.7
Mar-77,52.5
Apr-77,52.6
May-77,52.9
Jun-77,53.3
Jul-77,53.4
Aug-77,53.6
Sep-77,53.7
Oct-77,53.8
Nov-77,54
Dec-77,54.1
Jan-78,53.8
Feb-78,54.1
Mar-78,54.6
Apr-78,55.2
May-78,55.5
Jun-78,55.7
Jul-78,55.6
Aug-78,56
Sep-78,56.2
Oct-78,56.3
Nov-78,56
Dec-78,56
Jan-79,55.7
Feb-79,55.6
Mar-79,56.1
Apr-79,55.1
May-79,55.4
Jun-79,55.1
Jul-79,54.7
Aug-79,54.4
Sep-79,54.2
Oct-79,53.7
Nov-79,53
Dec-79,52.6
Jan-80,52.5
Feb-80,52.4
Mar-80,51.1
Apr-80,49.5
May-80,48.9
Jun-80,49.1
Jul-80,49.5
Aug-80,49.9
Sep-80,50.3
Oct-80,50.7
Nov-80,50.8
Dec-80,50.5
Jan-81,49.9
Feb-81,49.6
Mar-81,49.7
Apr-81,50
May-81,49.7
Jun-81,49.3
Jul-81,48.9
Aug-81,48.7
Sep-81,48.1
Oct-81,47.7
Nov-81,47.6
Dec-81,47.4
Jan-82,46.9
Feb-82,47.2
Mar-82,46.9
Apr-82,46.9
May-82,46.7
Jun-82,46.4
Jul-82,46.5
Aug-82,46.1
Sep-82,46.5
Oct-82,46.7
Nov-82,46.9
