,Leading Economic Index
Region,United States
Subnational,
Frequency,Monthly
Unit,2016=100
Source,The Conference Board
Status,Active
Series ID,455935867
SR Code,SR141454357
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,Jan-59
Last Obs. Date,22-Nov
Last Update Time,22/12/2022
Series remarks,[COVID-19-IMPACT]
Suggestions,
Mean,69.31395046
Variance,620.9147268
Standard Deviation,24.91816058
Skewness,0.147926722
Kurtosis,-1.106060486
Coefficient Variation,0.359497048
Min,25.2
Max,119.4
Median,66.1
No. of Obs,767
1/1/1959,25.2
2/1/1959,25.6
3/1/1959,25.9
4/1/1959,26
5/1/1959,26.3
6/1/1959,26.4
7/1/1959,26.4
8/1/1959,26.4
9/1/1959,26.4
10/1/1959,26.3
11/1/1959,26.1
12/1/1959,26.7
1/1/1960,26.7
2/1/1960,26.7
3/1/1960,26.6
4/1/1960,26.7
5/1/1960,26.7
6/1/1960,26.8
7/1/1960,26.8
8/1/1960,26.9
9/1/1960,26.9
10/1/1960,27
11/1/1960,26.9
12/1/1960,26.9
1/1/1961,27.2
2/1/1961,27.3
3/1/1961,27.6
4/1/1961,27.9
5/1/1961,28.2
6/1/1961,28.6
7/1/1961,28.7
8/1/1961,29.1
9/1/1961,29.2
10/1/1961,29.6
11/1/1961,30
12/1/1961,30.2
1/1/1962,30.3
2/1/1962,30.6
3/1/1962,30.8
4/1/1962,31
5/1/1962,30.9
6/1/1962,30.9
7/1/1962,31.1
8/1/1962,31.2
9/1/1962,31.4
10/1/1962,31.5
11/1/1962,31.8
12/1/1962,31.9
1/1/1963,32.2
2/1/1963,32.5
3/1/1963,32.8
4/1/1963,33.1
5/1/1963,33.3
6/1/1963,33.5
7/1/1963,33.7
8/1/1963,33.8
9/1/1963,34.1
10/1/1963,34.4
11/1/1963,34.6
12/1/1963,34.7
1/1/1964,34.9
2/1/1964,35.2
3/1/1964,35.4
4/1/1964,35.7
5/1/1964,36
6/1/1964,36.2
7/1/1964,36.5
8/1/1964,36.8
9/1/1964,37.1
10/1/1964,37.2
11/1/1964,37.5
12/1/1964,37.8
1/1/1965,38.1
2/1/1965,38.3
3/1/1965,38.7
4/1/1965,38.8
5/1/1965,39.1
6/1/1965,39.2
7/1/1965,39.4
8/1/1965,39.6
9/1/1965,39.9
10/1/1965,40.4
11/1/1965,40.7
12/1/1965,41.1
1/1/1966,41.3
2/1/1966,41.5
3/1/1966,41.9
4/1/1966,42
5/1/1966,41.8
6/1/1966,41.8
7/1/1966,41.7
8/1/1966,41.6
9/1/1966,41.5
10/1/1966,41.5
11/1/1966,41.4
12/1/1966,41.4
1/1/1967,41.6
2/1/1967,41.4
3/1/1967,41.6
4/1/1967,41.8
5/1/1967,42.1
6/1/1967,42.5
7/1/1967,42.7
8/1/1967,43.1
9/1/1967,43.3
10/1/1967,43.4
11/1/1967,43.7
12/1/1967,44.1
1/1/1968,44.2
2/1/1968,44.4
3/1/1968,44.6
4/1/1968,44.7
5/1/1968,45
6/1/1968,45.2
7/1/1968,45.3
8/1/1968,45.1
9/1/1968,45.6
10/1/1968,45.9
11/1/1968,46
12/1/1968,46
1/1/1969,46.2
2/1/1969,46.3
3/1/1969,46.5
4/1/1969,46.7
5/1/1969,46.4
6/1/1969,46.2
7/1/1969,46
8/1/1969,45.9
9/1/1969,46
10/1/1969,45.7
11/1/1969,45.5
12/1/1969,45.2
1/1/1970,44.7
2/1/1970,44.4
3/1/1970,44.1
4/1/1970,43.7
5/1/1970,43.7
6/1/1970,43.7
7/1/1970,43.9
8/1/1970,44
9/1/1970,44
10/1/1970,43.9
11/1/1970,43.9
12/1/1970,44.5
1/1/1971,44.7
2/1/1971,45.2
3/1/1971,45.5
4/1/1971,45.7
5/1/1971,46.1
6/1/1971,46.2
7/1/1971,46.4
8/1/1971,46.5
9/1/1971,46.7
10/1/1971,47
11/1/1971,47.2
12/1/1971,47.7
1/1/1972,48.2
2/1/1972,48.7
3/1/1972,49.1
4/1/1972,49.4
5/1/1972,49.6
6/1/1972,50
7/1/1972,50.3
8/1/1972,51
9/1/1972,51.6
10/1/1972,52
11/1/1972,52.5
12/1/1972,53.1
1/1/1973,53.4
2/1/1973,53.6
3/1/1973,53.6
4/1/1973,53.3
5/1/1973,53.3
6/1/1973,53.2
7/1/1973,52.9
8/1/1973,52.4
9/1/1973,52.2
10/1/1973,52.1
11/1/1973,51.8
12/1/1973,51.2
1/1/1974,51
2/1/1974,50.6
3/1/1974,50.5
4/1/1974,49.8
5/1/1974,49.6
6/1/1974,49.1
7/1/1974,48.5
8/1/1974,47.7
9/1/1974,46.8
10/1/1974,46.2
11/1/1974,45.5
12/1/1974,44.7
1/1/1975,44.4
2/1/1975,44.2
3/1/1975,44.1
4/1/1975,44.7
5/1/1975,45
6/1/1975,45.3
7/1/1975,45.8
8/1/1975,45.9
9/1/1975,46.1
10/1/1975,46.5
11/1/1975,46.7
12/1/1975,47
1/1/1976,47.7
2/1/1976,48.4
3/1/1976,48.6
4/1/1976,48.8
5/1/1976,49.2
6/1/1976,49.3
7/1/1976,49.8
8/1/1976,50
9/1/1976,50.4
10/1/1976,50.4
11/1/1976,50.9
12/1/1976,51.4
1/1/1977,51.4
2/1/1977,51.7
3/1/1977,52.5
4/1/1977,52.6
5/1/1977,52.9
6/1/1977,53.3
7/1/1977,53.4
8/1/1977,53.6
9/1/1977,53.7
10/1/1977,53.8
11/1/1977,54
12/1/1977,54.1
1/1/1978,53.8
2/1/1978,54.1
3/1/1978,54.6
4/1/1978,55.2
5/1/1978,55.5
6/1/1978,55.7
7/1/1978,55.6
8/1/1978,56
9/1/1978,56.2
10/1/1978,56.3
11/1/1978,56
12/1/1978,56
1/1/1979,55.7
2/1/1979,55.6
3/1/1979,56.1
4/1/1979,55.1
5/1/1979,55.4
6/1/1979,55.1
7/1/1979,54.7
8/1/1979,54.4
9/1/1979,54.2
10/1/1979,53.7
11/1/1979,53
12/1/1979,52.6
1/1/1980,52.5
2/1/1980,52.4
3/1/1980,51.1
4/1/1980,49.5
