"Date","Price","Open","High","Low","Change %"
"Feb 23","2.589","2.201","6.677","2.164","19.31%"
"Jan 23","2.170","1.883","2.234","1.781","15.98%"
"Dec 22","1.871","1.543","1.887","1.469","23.34%"
"Nov 22","1.517","0.998","1.594","0.970","56.63%"
"Oct 22","0.969","0.806","1.009","0.702","22.67%"
"Sep 22","0.789","0.027","0.803","0.014","2,879.25%"
"Aug 22","0.026","-0.060","0.167","-0.161","-144.17%"
"Jul 22","-0.060","-0.506","0.002","-0.586","-87.94%"
"Jun 22","-0.498","-0.499","-0.445","-0.655","-3.21%"
"May 22","-0.514","-0.706","-0.496","-0.729","-27.14%"
"Apr 22","-0.706","-0.655","-0.638","-0.739","7.63%"
"Mar 22","-0.655","-0.750","-0.637","-0.816","-12.54%"
"Feb 22","-0.749","-0.666","-0.636","-0.756","12.45%"
"Jan 22","-0.666","-0.767","-0.628","-0.842","-13.10%"
"Dec 21","-0.767","-0.971","-0.672","-1.021","-22.49%"
"Nov 21","-0.989","-0.827","-0.739","-1.033","15.26%"
"Oct 21","-0.859","-0.682","-0.659","-0.860","27.28%"
"Sep 21","-0.674","-0.680","-0.646","-0.694","-0.22%"
"Aug 21","-0.676","-0.685","-0.649","-0.706","0.82%"
"Jul 21","-0.670","-0.669","-0.632","-0.683","1.13%"
"Jun 21","-0.663","-0.637","-0.624","-0.684","1.22%"
"May 21","-0.655","-0.641","-0.609","-0.665","2.18%"
"Apr 21","-0.641","-0.669","-0.604","-0.679","-3.46%"
"Mar 21","-0.664","-0.618","-0.578","-0.669","14.98%"
"Feb 21","-0.577","-0.648","-0.577","-0.668","-10.33%"
"Jan 21","-0.644","-0.803","-0.596","-0.828","-18.89%"
"Dec 20","-0.794","-0.733","-0.663","-0.858","8.40%"
"Nov 20","-0.733","-0.774","-0.661","-0.807","-2.53%"
"Oct 20","-0.752","-0.612","-0.582","-0.778","22.29%"
"Sep 20","-0.614","-0.604","-0.489","-0.629","7.90%"
"Aug 20","-0.570","-0.577","-0.520","-0.601","-1.30%"
"Jul 20","-0.577","-0.558","-0.550","-0.590","2.30%"
"Jun 20","-0.564","-0.530","-0.495","-0.586","-1.91%"
"May 20","-0.575","-0.566","-0.481","-0.590","4.17%"
"Apr 20","-0.552","-0.689","-0.510","-0.729","-15.08%"
"Mar 20","-0.650","-0.599","-0.598","-0.837","10.17%"
"Feb 20","-0.590","-0.570","-0.546","-0.628","3.51%"
"Jan 20","-0.570","-0.705","-0.500","-0.705","-21.05%"
"Dec 19","-0.722","-0.625","-0.622","-0.801","16.26%"
"Nov 19","-0.621","-0.600","-0.568","-0.627","4.72%"
"Oct 19","-0.593","-0.564","-0.549","-0.640","2.60%"
"Sep 19","-0.578","-0.736","-0.480","-0.740","-20.82%"
"Aug 19","-0.730","-0.542","-0.517","-0.741","38.26%"
"Jul 19","-0.528","-0.553","-0.509","-0.627","0.57%"
"Jun 19","-0.525","-0.560","-0.512","-0.581","-5.75%"
"May 19","-0.557","-0.571","-0.504","-0.588","-2.45%"
"Apr 19","-0.571","-0.539","-0.482","-0.578","5.16%"
"Mar 19","-0.543","-0.539","-0.489","-0.571","1.69%"
"Feb 19","-0.534","-0.527","-0.501","-0.561","-2.20%"
"Jan 19","-0.546","-0.849","-0.500","-0.854","-35.38%"
"Dec 18","-0.845","-0.753","-0.621","-1.001","12.82%"
"Nov 18","-0.749","-0.848","-0.624","-0.850","-11.05%"
"Oct 18","-0.842","-0.575","-0.505","-0.870","45.93%"
"Sep 18","-0.577","-0.517","-0.515","-0.634","-0.86%"
"Aug 18","-0.582","-0.566","-0.519","-0.675","-1.19%"
"Jul 18","-0.589","-0.650","-0.550","-0.675","0.00%"
"Jun 18","-0.589","-0.641","-0.560","-0.661","-8.54%"
"May 18","-0.644","-0.689","-0.590","-0.703","-4.73%"
"Apr 18","-0.676","-0.780","-0.669","-0.800","-13.99%"
"Mar 18","-0.786","-0.705","-0.684","-0.866","12.29%"
"Feb 18","-0.700","-0.684","-0.605","-0.868","2.49%"
"Jan 18","-0.683","-0.880","-0.599","-1.015","-14.94%"
"Dec 17","-0.803","-0.921","-0.790","-1.229","-11.95%"
"Nov 17","-0.912","-0.828","-0.675","-0.984","9.35%"
"Oct 17","-0.834","-0.744","-0.700","-0.886","14.25%"
"Sep 17","-0.730","-0.719","-0.639","-0.821","0.55%"
"Aug 17","-0.726","-0.732","-0.670","-0.799","-1.49%"
"Jul 17","-0.737","-0.754","-0.641","-0.844","-4.04%"
"Jun 17","-0.768","-0.911","-0.559","-0.991","-14.67%"
"May 17","-0.900","-0.862","-0.842","-0.970","-0.55%"
"Apr 17","-0.905","-0.967","-0.715","-1.029","1.23%"
"Mar 17","-0.894","-0.894","-0.848","-1.069","-0.22%"
"Feb 17","-0.896","-0.811","-0.764","-0.993","9.54%"
"Jan 17","-0.818","-0.968","-0.679","-0.984","-12.04%"
"Dec 16","-0.930","-0.766","-0.764","-1.527","20.16%"
"Nov 16","-0.774","-0.736","-0.549","-0.817","3.34%"
