date,ger1525_etf_price,ger1525_index_price,ger2555_etf_price,ger2555_index_price,ger10_etf_price,ger10_index_price
06/11/03,100,100,100,100,Nan,Nan
06/12/03,99.99,99.97,99.95,99.95,Nan,Nan
06/13/03,100.03,100.02,100.08,100.08,Nan,Nan
06/16/03,100.07,100.09,100.18,100.21,Nan,Nan
06/17/03,99.96,99.98,99.88,99.91,Nan,Nan
06/18/03,99.78,99.77,99.37,99.37,Nan,Nan
06/19/03,99.83,99.82,99.4,99.4,Nan,Nan
06/20/03,99.92,99.91,99.63,99.63,Nan,Nan
06/23/03,99.83,99.85,99.4,99.43,Nan,Nan
06/24/03,99.87,99.89,99.5,99.53,Nan,Nan
06/25/03,99.96,99.95,99.67,99.68,Nan,Nan
06/26/03,99.73,99.73,99.15,99.16,Nan,Nan
06/27/03,99.67,99.66,98.98,98.98,Nan,Nan
06/30/03,99.7,99.72,99.03,99.06,Nan,Nan
07/01/03,99.81,99.83,99.25,99.28,Nan,Nan
07/02/03,99.75,99.74,99,99.01,Nan,Nan
07/03/03,99.72,99.72,98.9,98.91,Nan,Nan
07/04/03,99.8,99.8,99.06,99.07,Nan,Nan
07/07/03,99.75,99.77,98.92,98.95,Nan,Nan
07/08/03,99.72,99.75,98.85,98.88,Nan,Nan
07/09/03,99.8,99.8,99.07,99.08,Nan,Nan
07/10/03,99.81,99.81,99.11,99.12,Nan,Nan
07/11/03,99.81,99.81,99.11,99.12,Nan,Nan
07/14/03,99.86,99.88,99.28,99.32,Nan,Nan
07/15/03,99.8,99.83,99.08,99.11,Nan,Nan
07/16/03,99.6,99.61,98.59,98.61,Nan,Nan
07/17/03,99.65,99.65,98.69,98.71,Nan,Nan
07/18/03,99.63,99.63,98.65,98.67,Nan,Nan
07/21/03,99.6,99.63,98.6,98.64,Nan,Nan
07/22/03,99.55,99.58,98.44,98.48,Nan,Nan
07/23/03,99.66,99.66,98.66,98.68,Nan,Nan
07/24/03,99.68,99.68,98.69,98.71,Nan,Nan
07/25/03,99.64,99.64,98.59,98.61,Nan,Nan
07/28/03,99.6,99.63,98.47,98.51,Nan,Nan
07/29/03,99.58,99.61,98.37,98.41,Nan,Nan
07/30/03,99.55,99.56,98.3,98.32,Nan,Nan
07/31/03,99.62,99.63,98.46,98.48,Nan,Nan
08/01/03,99.14,99.15,97.59,97.61,Nan,Nan
08/04/03,99.18,99.22,97.71,97.75,Nan,Nan
08/05/03,99.23,99.26,97.84,97.88,Nan,Nan
08/06/03,99.23,99.24,97.76,97.78,Nan,Nan
08/07/03,99.35,99.36,98.03,98.05,Nan,Nan
08/08/03,99.47,99.48,98.27,98.29,Nan,Nan
08/11/03,99.44,99.48,98.27,98.32,Nan,Nan
08/12/03,99.44,99.48,98.3,98.35,Nan,Nan
08/13/03,99.44,99.45,98.18,98.21,Nan,Nan
08/14/03,99.24,99.25,97.71,97.73,Nan,Nan
08/15/03,99.31,99.32,97.83,97.85,Nan,Nan
08/18/03,99.32,99.35,97.82,97.87,Nan,Nan
08/19/03,99.24,99.28,97.71,97.75,Nan,Nan
08/20/03,99.41,99.43,98.1,98.12,Nan,Nan
08/21/03,99.42,99.3,98.11,97.81,Nan,Nan
08/22/03,99.29,99.3,97.78,97.81,Nan,Nan
08/25/03,99.36,99.4,97.98,98.03,Nan,Nan
08/26/03,99.34,99.29,97.89,97.77,Nan,Nan
08/27/03,99.36,99.38,97.94,97.96,Nan,Nan
08/28/03,99.3,99.32,97.74,97.76,Nan,Nan
08/29/03,99.38,99.4,97.9,97.93,Nan,Nan
09/01/03,99.37,99.41,97.89,97.94,Nan,Nan
09/02/03,99.15,99.19,97.38,97.42,Nan,Nan
09/03/03,99.16,99.17,97.36,97.38,Nan,Nan
09/04/03,99.18,99.2,97.38,97.39,Nan,Nan
09/05/03,99.33,99.35,97.62,97.64,Nan,Nan
09/08/03,99.51,99.56,97.93,97.99,Nan,Nan
09/09/03,99.51,99.56,97.94,98,Nan,Nan
09/10/03,99.55,99.57,98.03,98.06,Nan,Nan
09/11/03,99.58,99.6,98.1,98.14,Nan,Nan
09/12/03,99.55,99.57,98.04,98.08,Nan,Nan
09/15/03,99.69,99.74,98.32,98.39,Nan,Nan
09/16/03,99.69,99.74,98.32,98.38,Nan,Nan
09/17/03,99.73,99.76,98.39,98.44,Nan,Nan
09/18/03,99.81,99.84,98.57,98.62,Nan,Nan
09/19/03,99.83,99.86,98.58,98.63,Nan,Nan
09/22/03,99.96,100.02,98.85,98.93,Nan,Nan
09/23/03,99.94,99.99,98.77,98.85,Nan,Nan
09/24/03,99.96,99.99,98.83,98.89,Nan,Nan
09/25/03,100.03,100.07,98.99,99.05,Nan,Nan
09/26/03,100.08,100.12,99.1,99.16,Nan,Nan
09/29/03,100.08,100.14,99.09,99.17,Nan,Nan
09/30/03,100.17,100.24,99.26,99.35,Nan,Nan
10/01/03,100.24,100.28,99.42,99.49,Nan,Nan
10/02/03,100.1,100.14,99.05,99.12,Nan,Nan
10/03/03,99.99,100.03,98.87,98.93,Nan,Nan
10/06/03,99.83,99.89,98.57,98.64,Nan,Nan
10/07/03,99.91,99.97,98.65,98.73,Nan,Nan
10/08/03,99.84,99.88,98.49,98.54,Nan,Nan
10/09/03,99.91,99.95,98.6,98.66,Nan,Nan
10/10/03,99.87,99.91,98.56,98.62,Nan,Nan
10/13/03,99.78,99.84,98.34,98.41,Nan,Nan
10/14/03,99.73,99.79,98.25,98.33,Nan,Nan
10/15/03,99.74,99.78,98.23,98.28,Nan,Nan
10/16/03,99.71,99.74,98.19,98.24,Nan,Nan
10/17/03,99.58,99.61,97.92,97.96,Nan,Nan
10/20/03,99.61,99.67,98.01,98.08,Nan,Nan
10/21/03,99.71,99.77,98.19,98.26,Nan,Nan
10/22/03,99.7,99.74,98.21,98.26,Nan,Nan
10/23/03,99.88,99.93,98.57,98.63,Nan,Nan
10/24/03,99.76,99.8,98.28,98.33,Nan,Nan
10/27/03,99.74,99.81,98.23,98.31,Nan,Nan
10/28/03,99.71,99.78,98.21,98.28,Nan,Nan
10/29/03,99.78,99.83,98.32,98.38,Nan,Nan
10/30/03,99.77,99.82,98.27,98.33,Nan,Nan
10/31/03,99.75,99.8,98.21,98.27,Nan,Nan
11/03/03,99.72,99.79,98.14,98.22,Nan,Nan
11/04/03,99.71,99.78,98.11,98.18,Nan,Nan
11/05/03,99.71,99.75,98.12,98.17,Nan,Nan
11/06/03,99.64,99.68,97.96,98.01,Nan,Nan
11/07/03,99.61,99.65,97.86,97.9,Nan,Nan
11/10/03,99.59,99.66,97.81,97.88,Nan,Nan
11/11/03,99.62,99.69,97.83,97.9,Nan,Nan
11/12/03,99.61,99.66,97.81,97.85,Nan,Nan
11/13/03,99.69,99.73,97.95,98.01,Nan,Nan
11/14/03,99.88,99.93,98.34,98.4,Nan,Nan
11/17/03,99.99,100.07,98.56,98.65,Nan,Nan
11/18/03,99.93,100.01,98.42,98.51,Nan,Nan
11/19/03,100.07,100.13,98.68,98.75,Nan,Nan
11/20/03,100.06,100.12,98.64,98.71,Nan,Nan
11/21/03,100.04,100.09,98.59,98.66,Nan,Nan
11/24/03,99.98,100.06,98.47,98.56,Nan,Nan
11/25/03,99.86,99.94,98.27,98.36,Nan,Nan
11/26/03,99.92,99.97,98.39,98.46,Nan,Nan
11/27/03,99.77,99.82,98.08,98.14,Nan,Nan
11/28/03,99.81,99.87,98.16,98.22,Nan,Nan
12/01/03,99.74,99.83,98.03,98.12,Nan,Nan
12/02/03,99.7,99.78,97.93,98.01,Nan,Nan
12/03/03,99.85,99.91,98.17,98.23,Nan,Nan
12/04/03,99.82,99.88,98.09,98.15,Nan,Nan
12/05/03,99.91,99.97,98.28,98.34,Nan,Nan
12/08/03,100.11,100.2,98.66,98.76,Nan,Nan
