date,europe_index_eur,europe_small_index_eur,world_index_eur,em_imi_index_eur,bcom_index_usd,gold_usd
12/31/98,100,,100,100,112.796,288.25
01/31/99,102.733,,105.648,98.181,112.304,286.15
02/28/99,103.583,,106.373,102.881,108.391,287.05
03/31/99,106.474,,112.649,118.679,118.779,280.05
04/30/99,111.89,,119.469,136.352,123.581,286.55
05/31/99,108.058,,116.754,136.861,115.987,270.35
06/30/99,111.118,,123.558,152.609,122.469,262.5
07/31/99,108.064,,118.682,143.537,124.623,255.95
08/31/99,110.608,,120.025,144.624,131.852,255.68
09/30/99,108.859,,117.874,137.696,138.712,298.75
10/31/99,114.357,,125.624,142.668,133.214,299.2
11/30/99,122.591,,134.805,163.683,136.338,290.7
12/31/99,135.769,,146.361,190.516,140.257,288
01/31/00,129.193,,141.347,196.001,147.861,283.5
02/29/00,138.132,,144.007,198.769,150.446,292.2
03/31/00,142.333,,154.884,199.901,151.904,279.08
04/30/00,142.866,,155.748,187.758,150.039,273.55
05/31/00,139.23,,149.143,174.604,160.137,272.1
06/30/00,137.597,,149.137,174.316,163.916,289.53
07/31/00,140.067,,149.918,171.511,155.704,277.25
08/31/00,144.265,,161.313,180.602,171.018,277.85
09/30/00,138.539,,153.859,163.871,169.956,274.25
10/31/00,143.142,,157.481,156.915,165.847,265.15
11/30/00,133.979,,144.01,140.199,179.184,270.45
12/31/00,132.788,100,135.668,131.577,184.917,272.25
01/31/01,134.12,106.376,139.603,150.847,180.573,265.85
02/28/01,123.723,103.407,129.228,141.198,179.812,267.15
03/31/01,119.106,97.734,125.58,133.09,172.151,257.95
04/30/01,127.203,103.281,134.449,138.201,178.208,264.05
05/31/01,126.562,107.764,138.795,146.09,174.471,265.85
06/30/01,121.929,102.833,134.593,143.618,167.513,270.85
07/31/01,118.264,97.903,128.484,129.978,169.694,266.65
08/31/01,110.95,95.062,117.801,123.852,169.62,274.4
09/30/01,99.62,78.895,107.128,104.519,158.178,293.25
10/31/01,103.928,84.915,110.386,111.462,150.67,279.65
11/30/01,108.746,92.391,117.598,124.547,151.834,274.4
12/31/01,112.151,94.507,118.983,135.934,148.843,278.95
01/31/02,109.933,96.075,119.32,145.248,147.842,282.55
02/28/02,109.394,95.943,117.71,146.637,151.673,296.55
03/31/02,114.344,101.546,121.852,154.845,167.182,302.65
04/30/02,109.857,101.318,113.961,150.922,167.183,308.45
05/31/02,105.635,98.481,110.101,142.474,164.612,326.55
06/30/02,96.459,89.943,97.816,124.522,167.805,314.45
07/31/02,86.356,80.866,90.22,116.413,166.896,303.55
08/31/02,86.314,79.571,90.347,118.116,173.472,312.75
09/30/02,74.386,70.364,79.785,104.517,180.005,323.55
10/31/02,81.407,73.115,85.487,110.719,178.148,317.75
11/30/02,85.023,75.971,89.68,117.596,178.653,318.15
12/31/02,77.673,70.209,80.879,107.853,187.401,348.05
01/31/03,72.337,66.478,76.654,105.518,201.826,368.15
02/28/03,69.697,63.578,75.012,102.041,208.617,349.95
03/31/03,67.814,62.67,73.846,97.49,192.877,337.45
04/30/03,75.25,70.057,78.604,103.355,191.676,338.55
05/31/03,76.033,73.897,78.831,105.212,202.881,364.45
06/30/03,78.624,77.264,82.126,114.136,197.865,346.4
07/31/03,81.846,82.37,85.481,123.356,199.055,354.35
08/31/03,83.749,87.416,89.517,134.775,206.916,375.55
09/30/03,80.562,86.226,84.902,127.655,207.089,385.35
10/31/03,86.103,93.525,90.09,138.183,216.979,384.25
11/30/03,87.057,94.159,88.69,136.152,216.296,398.15
12/31/03,89.527,94.276,89.566,138.156,232.249,415.45
01/31/04,91.963,101.613,92.399,145.441,236.46,402.45
02/29/04,94.641,106.161,93.931,152.516,251.802,396.15
03/31/04,92.706,104.746,94.34,156.234,259.577,426.45
04/30/04,94.25,104.982,94.732,147.661,254.973,386.75
05/31/04,94.024,103.253,93.841,142.017,259.296,395.55
06/30/04,95.634,107.293,96.122,142.871,248.545,394.25
07/31/04,93.983,103.879,93.965,141.135,252.936,391.05
08/31/04,93.161,102.658,93.496,145.698,248.326,409.85
09/30/04,94.815,105.301,93.217,150.776,265.328,418.25
10/31/04,95.916,107.028,93.242,150.979,269.818,428.55
11/30/04,98.537,112.82,93.931,157.866,266.586,450.95
12/31/04,100.428,116.11,95.35,162.328,253.495,438.45
01/31/05,102.778,122.882,97.186,169.62,256.14,422.6
02/28/05,105.985,127.277,98.467,181.075,274.235,435.65
03/31/05,105.518,127.215,98.613,173.111,284.012,428.35
04/30/05,103.537,123.648,97.115,169.501,267.441,434.4
05/31/05,108.633,130.15,103.339,183.284,265.365,417.25
06/30/05,112.322,136.321,106.308,193.458,269.832,435.5
07/31/05,116.029,143.602,109.659,205.767,281.929,429.8
08/31/05,116.304,146.673,109.12,204.442,303.209,435.2
09/30/05,121.517,153.348,114.201,226.741,317.316,469.3
10/31/05,118.467,145.357,112.166,213.454,297.376,465.19
11/30/05,122.385,151.124,117.751,234.958,298.144,493.08
12/31/05,126.627,159.124,120.299,249.664,307.65,517
01/31/06,131.04,170.414,122.074,268.218,313.34,568.9
02/28/06,133.574,177.832,124.147,273.019,293.724,561.55
03/31/06,136.711,184.266,125,271.122,300.257,583.65
04/30/06,138.047,188.679,123.734,279.364,320.614,654.43
05/31/06,131.643,177.025,117.2,246.536,323.681,645.2
06/30/06,132.67,174.625,117.697,245.087,318.652,615.85
07/31/06,134.957,173.241,118.663,248.907,328.881,636.75
08/31/06,138.792,177.504,121.373,254.619,317.029,627.3
09/30/06,141.45,182.403,124.109,259.9,297.94,598.3
10/31/06,146.407,190.954,127.697,270.11,312.073,606.6
11/30/06,145.985,196.409,125.968,279.988,329.14,648
12/31/06,151.461,206.73,129.202,294.132,314.023,636.7
01/31/07,154.607,214.103,132.659,295.323,314.684,653.2
02/28/07,151.543,211.452,129.82,289.989,325.281,669.35
03/31/07,155.832,220.194,131.184,299.243,328.452,663.8
04/30/07,161.814,227.027,133.598,306.247,332.246,678.45
05/31/07,166.996,233.479,139.29,326.777,332.676,660.5
06/30/07,166.358,229.021,137.714,340.954,328.029,649.65
07/31/07,160.639,224.424,132.864,355.577,334.836,664.3
08/31/07,159.517,215.741,133.308,348.062,322.678,673.3
09/30/07,160.652,206.039,133.864,369.145,348.507,743.6
10/31/07,165.28,217.607,135.624,401.746,360.125,796.8
11/30/07,157.69,196.288,128.21,368.088,348.831,783.55
12/31/07,155.542,191.195,127.058,370.935,364.99,833.7
01/31/08,137.567,168.412,115.878,319.606,380.406,926.1
02/29/08,136.323,172.793,112.362,334.757,427.135,973.9
03/31/08,131.15,167.226,106.618,303.428,400.046,916.9
04/30/08,139.52,173.182,114.215,333.079,414.302,877.55
05/31/08,140.394,175.628,116.169,339.073,425.629,886.5
06/30/08,126.426,158.567,105.445,300.339,464.357,925.4
07/31/08,123.996,151.916,103.877,292.403,409.311,914.1
08/31/08,126.233,156.663,108.539,285.387,379.496,831.15
09/30/08,112.35,131.486,100.232,245.789,335.748,870.95
10/31/08,98.014,104.851,89.979,196.917,264.29,723.85
11/30/08,91.231,95.743,84.098,182.317,245.9,818.05
12/31/08,87.652,92.031,79.231,180.321,234.874,882.05
01/31/09,84.562,93.467,78.414,183.016,222.249,927.85
02/28/09,76.656,87.708,71.022,174.633,212.396,942.32
03/31/09,78.409,89.822,73.061,191.016,220.049,919.35
04/30/09,89.517,109.398,81.417,224.474,221.662,888.2
05/31/09,93.969,116.14,83.126,247.536,250.488,979.18
06/30/09,92.969,116.513,83.506,246.756,245.722,926.5
07/31/09,101.639,125.715,89.614,271.985,253.663,954
08/31/09,106.747,136.669,92.186,268.225,252.185,951.19
09/30/09,109.664,143.589,94.112,286.931,256.153,1007.7
10/31/09,107.38,139.745,91.577,284.786,264.5539,1045.45
11/30/09,108.591,138.704,93.674,292.035,273.8594,1179.63
12/31/09,115.347,146.789,99.783,318.594,279.2789,1096.98
01/31/10,112.03,149.952,98.742,311.269,258.9532,1081.2
02/28/10,111.833,147.518,101.987,318.096,268.5674,1117.59
03/31/10,120.101,161.212,109.231,347.018,265.2308,1113.25
04/30/10,118.913,165.686,111.173,357.96,270.3876,1179.03
05/31/10,113.168,154.022,108.929,352.997,251.6688,1216.3
06/30/10,112.523,153.081,105.379,351.981,252.4697,1242.38
07/31/10,118.115,161.197,107.111,358.012,269.5726,1181
08/31/10,116.62,158.627,105.696,360.874,262.7116,1247.4
09/30/10,120.5,168.077,107.574,373.723,281.7853,1308.54
10/31/10,123.486,174.417,109.601,378.358,295.826,1359.4
11/30/10,121.837,174.311,114.496,393.546,294.7787,1386.23
12/31/10,128.145,190.696,119.268,408.533,326.2875,1421.4
01/31/11,130.335,189.959,119.343,388.663,329.5602,1332.68
02/28/11,133.62,192.368,122.609,380.821,333.9035,1411.33
03/31/11,128.967,190.221,118.158,391.898,340.7971,1432.2
04/30/11,133.231,195.997,117.822,387.081,352.5991,1563.7
05/31/11,132.957,196.317,119.07,388.746,334.7639,1535.73
06/30/11,129.307,188.271,116.196,379.234,317.8776,1500.18
07/31/11,126.041,182.362,115.109,382.004,327.2924,1627.05
08/31/11,113.193,163.162,106.791,346.166,330.5607,1825.55
09/30/11,108.136,151.685,104.701,316.719,281.8526,1623.79
10/31/11,116.609,161.878,111.133,343.782,300.5066,1714.7
11/30/11,115.371,157.108,112.338,331.822,293.8383,1746.35
12/31/11,117.789,157.417,116.427,339.901,282.8255,1564.91
01/31/12,122.282,171.729,121.251,375.083,289.8194,1737.76
02/29/12,127.242,181.969,124.451,390.218,297.6407,1696.76
03/31/12,127.063,182.099,126.618,378.932,285.3287,1668.15
04/30/12,124.917,182.528,125.951,376.404,284.1211,1664.75
05/31/12,117.327,169.609,123.185,358.772,258.1752,1560.51
06/30/12,123.379,173.279,126.137,362.693,272.3567,1597.45
07/31/12,128.567,179.494,131.648,380.109,289.9744,1614.58
08/31/12,131.155,183.68,131.886,371.234,293.7393,1691.85
09/30/12,132.299,189.621,132.77,385.745,298.7492,1772.25
10/31/12,133.258,191.764,130.927,380.281,287.179,1720.65
11/30/12,136.214,192.829,132.114,383.896,287.3272,1714.98
12/31/12,138.156,199.895,132.781,397.198,279.8362,1675.35
01/31/13,142.031,205.76,135.536,391.697,286.5446,1663.7
02/28/13,143.39,213.69,140.957,402.71,274.8341,1579.61
03/31/13,145.684,216.347,146.87,403.92,276.686,1597.5
04/30/13,148.049,217.753,147.554,396.98,268.9637,1476.71
05/31/13,150.887,225.747,150.161,394.44,262.9314,1387.8
06/30/13,143.179,215.793,146.027,367.049,250.5353,1234.53
07/31/13,150.481,229.826,150.474,362.848,253.9487,1325.07
08/31/13,149.604,232.395,148.304,358.386,262.5888,1395.27
09/30/13,156.207,244.817,151.689,371.796,255.8818,1329.03
10/31/13,162.198,256.076,156.948,387.634,252.1034,1323.06
11/30/13,163.868,260.829,159.497,381.258,250.0857,1253.35
12/31/13,165.542,266.683,160.933,371.688,253.1865,1201.64
01/31/14,162.614,268.825,158.351,356.899,253.9401,1244.55
02/28/14,170.37,286.42,162.354,360.405,269.7739,1326.39
03/31/14,168.986,283.081,162.931,371.819,270.8832,1284.01
04/30/14,172.164,279.496,163.615,370.854,277.4815,1291.6
05/31/14,176.505,286.193,169.524,389.747,269.5049,1249.68
06/30/14,175.731,283.238,171.977,398.329,271.1121,1327.33
07/31/14,173.024,276.111,173.172,414.835,257.6011,1282.59
08/31/14,176.494,280.222,179.783,430.954,254.9088,1287.32
09/30/14,177.122,275.684,182.373,417.808,239.0387,1208.15
10/31/14,173.877,271.678,185.069,424.602,237.1171,1172.94
11/30/14,179.394,277.958,189.724,421.956,227.4715,1167.38
12/31/14,176.864,283.935,192.311,415.683,210.1242,1184.37
01/31/15,189.647,301.638,202.481,448.909,203.1056,1283.79
02/28/15,202.775,328.793,215.643,465.112,208.3382,1213.18
03/31/15,206.146,335.04,221.686,479.664,197.6373,1183.57
04/30/15,206.16,339.626,217.459,495.937,208.9695,1184.37
05/31/15,209.087,351.889,223.025,489.588,203.3312,1190.58
06/30/15,199.416,341.353,214.349,467.874,206.8436,1172.35
07/31/15,207.385,353.008,220.043,438.573,184.8788,1095.8
08/31/15,189.927,334.538,202.612,392.968,183.1802,1134.93
09/30/15,181.75,324.068,195.882,384.209,176.9206,1115.09
10/31/15,196.809,344.626,213.624,415.277,176.1312,1142.11
11/30/15,202.074,358.767,222.323,418.196,163.3542,1064.77
12/31/15,191.41,350.742,212.353,398.849,158.3135,1061.1
01/31/16,179.495,322.029,200.433,373.638,155.6528,1118.21
02/29/16,175.549,320.248,198.117,371.38,153.121,1238.67
03/31/16,177.891,330.729,201.722,399.355,158.9728,1232.75
04/30/16,181.314,333.27,203.876,400.008,172.5048,1293.53
05/31/16,185.446,347.19,210.933,396.307,172.1789,1215.32
06/30/16,177.564,316.19,209.001,412.179,179.2913,1321.9
07/31/16,183.79,333.759,216.409,429.663,170.1268,1351.28
08/31/16,185.077,338.851,217.464,441.734,167.129,1308.97
09/30/16,185.02,342.209,216.664,443.43,172.3635,1315.87
10/31/16,183.501,333.44,217.82,454.606,171.5215,1277.21
11/30/16,185.5,337.3,228.326,448.112,173.8088,1173.2
12/31/16,196.341,353.747,235.13,451.448,176.9417,1147.5
01/31/17,195.607,356.938,235.023,464.257,177.1814,1210.72
02/28/17,201.316,368.542,245.658,487.949,177.5513,1248.44
03/31/17,208.039,378.354,246.661,497.083,172.8258,1249.2
04/30/17,211.548,396.663,245.854,498.223,170.2237,1268.28
05/31/17,214.794,400.672,243.118,495.288,167.9627,1268.92
06/30/17,209.458,390.814,240.619,493.09,167.6399,1241.61
07/31/17,208.676,394.991,238.343,503.934,171.4304,1269.44
08/31/17,207.059,392.588,236.691,510.704,172.1214,1321.43
09/30/17,215.104,410.343,243.375,511.848,171.8648,1279.75
10/31/17,219.315,418.88,251.646,537.64,175.5502,1271.45
11/30/17,214.747,411.143,251.191,527.407,174.7404,1275.01
12/31/17,216.451,421.075,252.796,542.572,179.9572,1302.8
01/31/18,219.917,429.271,256.541,564.846,183.531,1345.14
02/28/18,211.42,416.906,251.175,550.704,180.3569,1318.31
03/31/18,207.144,409.77,243.663,536.396,179.236,1325.48
04/30/18,216.69,426.681,250.879,543.824,183.8683,1315.39
05/31/18,216.919,433.796,261.297,544,186.4731,1298.51
06/30/18,215.419,428.963,261.116,519.728,179.9539,1252.6
07/31/18,222.114,434.701,268.696,529.418,176.1132,1224.15
08/31/18,217.126,432.366,273.552,518.369,172.9951,1201.15
09/30/18,218.274,424.229,275.549,514.847,176.3125,1190.88
10/31/18,206.679,392.009,261.727,480.732,172.5063,1214.76
11/30/18,204.898,378.587,264.887,501.605,171.5349,1220.52
12/31/18,193.571,354.281,242.412,484.239,159.7202,1282.49
01/31/19,205.55,386.147,260.294,522.83,168.4193,1321.25
02/28/19,214.087,399.194,270.181,528.651,170.1244,1313.32
03/31/19,218.433,404.596,277.594,540.676,169.8207,1292.38
04/30/19,226.677,423.307,287.988,551.993,169.1048,1283.53
05/31/19,215.479,398.438,272.918,516.245,163.4152,1305.58
06/30/19,225.017,410.059,284.656,535.374,167.8037,1409.55
07/31/19,225.691,409.43,292.592,540.73,166.6751,1413.78
08/31/19,222.442,402.495,289.769,519.964,162.809,1520.38
09/30/19,230.812,416.715,298.935,535.296,164.7214,1472.49
10/31/19,232.787,427.106,299.55,544.917,168.052,1512.99
11/30/19,239.061,446.711,311.536,550.332,163.749,1463.98
12/31/19,243.995,465.659,315.181,580.133,172.0042,1517.27
01/31/20,240.93,457.652,317.305,560.636,159.3501,1589.16
02/29/20,220.52,420.819,293.063,534.727,151.3185,1585.69
03/31/20,188.878,331.259,254.556,448.65,131.9359,1577.18
04/30/20,200.436,368.934,282.868,492.622,129.9062,1686.5
05/31/20,206.352,387.952,291.987,489.55,135.5447,1730.27
06/30/20,212.679,393.079,296.829,521.277,138.6382,1780.96
07/31/20,209.767,397.431,295.419,539.506,146.551,1975.86
08/31/20,215.941,420.076,311.613,546.243,156.4625,1967.8
09/30/20,212.893,417.516,306.84,548.139,151.2189,1885.82
10/31/20,202.232,399.214,299.42,561.76,153.349,1878.81
11/30/20,230.437,459.612,328.853,600.174,158.7354,1776.95
12/31/20,235.891,487.004,335.133,630.119,166.631,1898.36
01/31/21,234.13,488.98,334.165,652.055,171.0062,1847.65
02/28/21,240.071,507.869,343.038,661.169,182.0712,1734.04
03/31/21,255.594,534.014,366.063,674.717,178.1622,1707.71
04/30/21,260.883,553.87,374.029,677.69,192.933,1769.13
05/31/21,267.568,565.358,373.568,682.853,198.197,1906.87
06/30/21,272.106,562.302,390.886,707.001,201.8662,1770.11
07/31/21,277.16,583.028,397.92,664.019,205.5776,1814.19
08/31/21,282.624,603.263,409.672,683.277,204.9696,1813.62
09/30/21,274.112,576.445,399.947,669.983,215.1673,1756.95
10/31/21,286.88,596.849,423.221,676.909,220.7274,1783.38
11/30/21,279.735,577.784,425.586,668.562,204.591,1774.52
12/31/21,295.167,603.03,439.249,676.072,211.8033,1829.2
01/31/22,285.731,562.326,422.02,670.662,230.397,1797.17
02/28/22,277.118,540.198,410.541,649.746,244.7501,1908.99
03/31/22,279.455,544.034,425.807,645.065,265.9137,1937.44
04/30/22,277.789,533.687,411.788,642.98,276.9244,1896.93
05/31/22,275.609,524.633,405.83,634.277,281.1473,1837.35
06/30/22,254.318,462.75,379.824,603.478,250.8549,1807.27
07/31/22,273.658,508.269,420.354,619.547,261.5476,1765.94
08/31/22,260.208,473.082,408.428,632.511,261.778,1711.04
09/30/22,243.861,421.331,380.254,574.553,240.5519,1660.61
10/31/22,259.038,450.891,403.974,554.096,245.3416,1633.56
11/30/22,276.87,479.407,414.732,606.835,252.0594,1768.52
12/31/22,267.149,467.338,383.129,577.514,245.8892,1824.02
,,,,,,
